"cbsacode","num_counties","cbsatitle","num_munis","num_local","pop_muni","pop_total","hhi_pop_muni","hhi_pop_total"
12780,1,"Bartlesville, OK",6,6,42798,42798,0.769842678392856,0.769842678392856
12860,1,"Batavia, NY",7,20,24617,66747,0.435786003114614,0.0984805351889954
12900,1,"Batesville, AR",9,9,18539,18539,0.421445254869222,0.421445254869222
12940,10,"Baton Rouge, LA",37,37,375713,375713,0.36394528195538,0.36394528195538
12980,1,"Battle Creek, MI",8,27,75855,137319,0.500550333497146,0.172331187205349
13020,1,"Bay City, MI",4,18,38970,102826,0.702407561819758,0.147776506836604
13060,1,"Bay City, TX",2,2,22300,22300,0.682267184138028,0.682267184138028
13100,1,"Beatrice, NE",12,36,15995,25402,0.593450031909589,0.245953720190672
13140,3,"Beaumont-Port Arthur, TX",21,21,289789,289789,0.207126031096642,0.207126031096642
13180,1,"Beaver Dam, WI",17,40,52581,85085,0.172324963469065,0.0740624503102855
13220,2,"Beckley, WV",14,14,36044,36044,0.28558612212221,0.28558612212221
13260,1,"Bedford, IN",3,12,18869,63939,0.581544660476267,0.185461661022075
13300,1,"Beeville, TX",1,1,13641,13641,1,1
13340,1,"Bellefontaine, OH",12,29,23001,69036,0.393077192922587,0.0964046504423809
13380,1,"Bellingham, WA",7,7,135933,135933,0.49052807053292,0.49052807053292
13420,1,"Bemidji, MN",8,50,16993,40632,0.811484701024545,0.167996875009813
13460,3,"Bend, OR",8,8,164840,164840,0.437464919251958,0.437464919251958
13540,1,"Bennington, VT",3,19,2637,39942,0.517541638210875,0.186119907665123
13660,1,"Big Rapids, MI",5,21,10469,41524,0.740635582890399,0.0917595170205332
13700,1,"Big Spring, TX",3,3,26868,26868,0.918663662261937,0.918663662261937
13740,3,"Billings, MT",9,9,130748,130748,0.810458695152952,0.810458695152952
13780,2,"Binghamton, NY",14,39,92507,290161,0.317572080244856,0.0895294091567316
13820,7,"Birmingham, AL",88,88,839791,839791,0.0809006622614958,0.0809006622614958
13860,1,"Bishop, CA",1,1,3820,3820,1,1
13900,3,"Bismarck, ND",11,51,106522,119814,0.538954719507179,0.428740680783164
13940,1,"Blackfoot, ID",5,5,20056,20056,0.450082464551987,0.450082464551987
13980,5,"Blacksburg-Christiansburg-Radford, VA",11,11,102993,102993,0.273936886470674,0.273936886470674
14010,1,"Bloomington, IL",21,52,152304,323193,0.389623701374213,0.172828114021275
14020,2,"Bloomington, IN",5,29,90030,251351,0.79514002151331,0.18300500190877
14100,1,"Bloomsburg-Berwick, PA",9,33,27558,64872,0.355745153367355,0.0839574091669458
14140,2,"Bluefield, WV-VA",11,11,32781,32781,0.184194566676892,0.184194566676892
14180,1,"Blytheville, AR",17,17,32347,32347,0.23293873405668,0.23293873405668
14220,1,"Bogalusa, LA",4,4,14739,14739,0.574040349943922,0.574040349943922
14260,5,"Boise City, ID",22,22,647188,647188,0.214433131892085,0.214433131892085
14300,1,"Bonham, TX",11,11,18221,18221,0.364701739394216,0.364701739394216
14380,1,"Boone, NC",4,4,20437,20437,0.784867288681488,0.784867288681488
14420,1,"Borger, TX",4,4,16042,16042,0.623125710357525,0.623125710357525
